STATE,CITY,ZIPCODE,STATION,LATITUDE,LONGITUDE,DATE,PRECIPITATION,HIGH,LOW
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/8/2021,0.09,57,45
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/9/2021,0.54,68,45
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/10/2021,0,70,45
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/11/2021,0,68,43
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/12/2021,0,78,45
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/13/2021,0,59,40
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/14/2021,0,60,39
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/15/2021,0,59,36
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/16/2021,0.42,46,37
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/17/2021,0,55,41
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/18/2021,0,59,43
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/19/2021,0,59,43
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/20/2021,0,52,31
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/21/2021,0,45,33
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/22/2021,0,53,33
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/23/2021,0,56,45
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/24/2021,0,60,45
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/25/2021,0,69,46
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/26/2021,0,78,59
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/27/2021,0,85,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/28/2021,1.75,77,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/29/2021,0,74,54
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,4/30/2021,0,76,52
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/1/2021,0,79,59
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/2/2021,0,79,60
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/3/2021,0.1,72,59
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/4/2021,0,69,47
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/5/2021,0,65,40
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/6/2021,0,69,48
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/7/2021,0,68,48
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/8/2021,1.4,75,53
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/9/2021,0,77,45
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/10/2021,0,57,43
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/11/2021,0,62,50
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/12/2021,0,63,42
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/13/2021,0,68,52
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/14/2021,0.38,72,55
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/15/2021,0.59,69,55
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/16/2021,1.3,64,58
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/17/2021,0.08,68,60
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/18/2021,0.45,79,63
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/19/2021,1.52,73,60
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/20/2021,1.09,69,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/21/2021,0.04,75,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/22/2021,0.32,68,63
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/23/2021,0.03,76,65
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/24/2021,0,76,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/25/2021,0,77,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/26/2021,0.97,86,63
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/27/2021,0.59,77,50
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/28/2021,0,58,47
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/29/2021,0,65,48
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/30/2021,0.08,66,55
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,5/31/2021,0.2,62,56
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/1/2021,0,72,55
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/2/2021,0,76,58
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/3/2021,0,81,63
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/4/2021,0,87,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/5/2021,0,84,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/6/2021,0,83,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/7/2021,0,86,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/8/2021,0,87,70
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/9/2021,0,91,72
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/10/2021,0,92,74
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/11/2021,0.86,89,69
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/12/2021,0,85,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/13/2021,0,90,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/14/2021,0,92,69
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/15/2021,0,93,71
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/16/2021,0,96,74
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/17/2021,0,98,77
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/18/2021,0,97,77
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/19/2021,0,92,74
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/20/2021,0,94,63
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/21/2021,0,78,60
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/22/2021,0,86,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/23/2021,0.32,88,71
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/24/2021,0.15,89,72
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/25/2021,1.27,88,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/26/2021,0.2,81,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/27/2021,0.03,77,68
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/28/2021,0.57,77,69
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/29/2021,1.44,78,68
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,6/30/2021,1.55,75,69
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/1/2021,0,82,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/2/2021,0,85,69
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/3/2021,0,87,69
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/4/2021,0,87,70
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/5/2021,0,89,70
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/6/2021,0,87,70
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/7/2021,0.01,84,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/8/2021,0,84,69
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/9/2021,0.63,92,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/10/2021,0.15,83,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/11/2021,0.03,76,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/12/2021,0,80,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/13/2021,0,87,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/14/2021,0.03,89,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/15/2021,1.07,76,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/16/2021,0,83,68
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/17/2021,0,84,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/18/2021,0,82,65
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/19/2021,0,83,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/20/2021,0,85,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/21/2021,0,87,68
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/22/2021,0,86,70
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/23/2021,0,91,71
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/24/2021,0,96,73
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/25/2021,0.14,88,71
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/26/2021,0,91,72
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/27/2021,0,95,70
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/28/2021,0,97,70
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/29/2021,0,98,72
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/30/2021,0,96,77
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,7/31/2021,0,85,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/1/2021,0,85,59
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/2/2021,0,85,54
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/3/2021,0,84,55
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/4/2021,0,85,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/5/2021,0.06,83,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/6/2021,0,89,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/7/2021,0.17,81,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/8/2021,0,86,67
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/9/2021,0.4,93,75
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/10/2021,0,92,72
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/11/2021,0,95,78
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/12/2021,5.01,98,75
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/13/2021,0,78,66
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/14/2021,0,84,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/15/2021,0,85,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/16/2021,0,87,65
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/17/2021,0,88,69
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/18/2021,0,87,68
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/19/2021,0,88,70
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/20/2021,0.87,86,68
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/21/2021,0,82,68
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/22/2021,0,88,64
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/23/2021,0,93,77
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/24/2021,0,94,75
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/25/2021,0,92,76
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/26/2021,0,94,75
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/27/2021,0,92,74
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/28/2021,0,89,73
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/29/2021,0,84,71
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/30/2021,0,90,71
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,8/31/2021,0.57,80,63
